TradingDate,QTP,DCM,DPM,ACB,VCB,BID,MBB,STB
2022-02-16,16700.0,28975.0,40449.0,22854.0,87000.0,45150.0,27207.0,33600.0
2022-02-17,16700.0,28786.0,40114.0,22921.0,87500.0,46000.0,27666.0,33900.0
2022-02-18,16600.0,28975.0,41034.0,22620.0,87200.0,44700.0,27207.0,33350.0
2022-02-21,16600.0,29447.0,40616.0,22987.0,87400.0,45250.0,27207.0,33200.0
2022-02-22,16500.0,28408.0,39613.0,23188.0,86800.0,46000.0,28666.0,33700.0
2022-02-23,16900.0,30390.0,42371.0,23121.0,86900.0,45600.0,28624.0,33600.0
2022-02-24,16600.0,32514.0,45296.0,23021.0,85300.0,44600.0,28332.0,32900.0
2022-02-25,16500.0,32655.0,45045.0,22954.0,85100.0,44550.0,28416.0,33000.0
2022-02-28,16400.0,34921.0,48137.0,22653.0,84500.0,43700.0,28666.0,32850.0
2022-03-01,16100.0,34826.0,47469.0,22620.0,85000.0,44100.0,28332.0,32650.0
2022-03-02,15900.0,36808.0,49976.0,21985.0,85000.0,42450.0,27082.0,31250.0
2022-03-03,16200.0,37563.0,49809.0,22353.0,85500.0,42800.0,27582.0,31850.0
2022-03-04,16300.0,38035.0,50394.0,22921.0,84900.0,43300.0,27416.0,32000.0
2022-03-07,16100.0,40678.0,53904.0,22219.0,84900.0,42250.0,26832.0,31500.0
2022-03-08,16500.0,39828.0,51814.0,21785.0,81500.0,41600.0,25832.0,30850.0
2022-03-09,16300.0,42046.0,54572.0,21851.0,83000.0,40500.0,25624.0,31100.0
2022-03-10,16500.0,42329.0,53402.0,21985.0,83500.0,40950.0,25874.0,31550.0
2022-03-11,17100.0,43887.0,55491.0,21851.0,83800.0,41850.0,26207.0,32050.0
2022-03-14,16900.0,40819.0,51647.0,21851.0,84200.0,41300.0,26374.0,32500.0
2022-03-15,16700.0,40395.0,52065.0,21918.0,81100.0,42100.0,26332.0,32700.0
2022-03-16,16700.0,41338.0,52734.0,21918.0,82500.0,41600.0,26749.0,32900.0
2022-03-17,16600.0,38507.0,50561.0,22052.0,83000.0,43500.0,26874.0,32800.0
2022-03-18,16700.0,40017.0,52232.0,21918.0,84200.0,43900.0,26749.0,33100.0
2022-03-21,16200.0,40206.0,52149.0,22019.0,84900.0,43800.0,26832.0,33100.0
2022-03-22,16200.0,41952.0,55157.0,22252.0,84900.0,43500.0,27041.0,34050.0
2022-03-23,16600.0,42377.0,57664.0,22186.0,84900.0,43400.0,26791.0,34000.0
